{'stabilizer.yaw': 130.2550048828125, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.456968307495117, 'stabilizer.roll': -64.05655670166016}
{'stabilizer.yaw': 130.23338317871094, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.453946590423584, 'stabilizer.roll': -64.07640838623047}
{'stabilizer.yaw': 130.2197265625, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.4651875495910645, 'stabilizer.roll': -64.0852279663086}
{'stabilizer.yaw': 130.18405151367188, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.4727783203125, 'stabilizer.roll': -64.07215881347656}
{'stabilizer.yaw': 130.15675354003906, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.464040279388428, 'stabilizer.roll': -64.06868743896484}
{'stabilizer.yaw': 128.7944793701172, 'stabilizer.roll': -64.0749740600586, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.446293354034424}
{'stabilizer.yaw': 128.77777099609375, 'stabilizer.roll': -64.07279968261719, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.449553489685059}
{'stabilizer.yaw': 128.8001708984375, 'stabilizer.roll': -64.09574890136719, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.446199417114258}
{'stabilizer.yaw': 128.74310302734375, 'stabilizer.roll': -64.08236694335938, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.455806255340576}
{'stabilizer.yaw': 128.75146484375, 'stabilizer.roll': -64.08270263671875, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.45733642578125}
{'stabilizer.yaw': 128.70809936523438, 'stabilizer.roll': -64.07267761230469, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.46276330947876}
{'stabilizer.yaw': 128.67955017089844, 'stabilizer.roll': -64.06793212890625, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.46127462387085}
{'stabilizer.yaw': 128.65316772460938, 'stabilizer.roll': -64.08146667480469, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.462597846984863}
{'stabilizer.yaw': 128.61593627929688, 'stabilizer.roll': -64.09103393554688, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.463412761688232}
{'stabilizer.yaw': 128.6076202392578, 'stabilizer.roll': -64.09973907470703, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.447816848754883}
{'stabilizer.yaw': 128.59397888183594, 'stabilizer.roll': -64.09949493408203, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.446751117706299}
{'stabilizer.yaw': 128.57073974609375, 'stabilizer.roll': -64.09821319580078, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.438912868499756}
{'stabilizer.yaw': 128.54469299316406, 'stabilizer.roll': -64.09005737304688, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.4350810050964355}
{'stabilizer.yaw': 128.5181121826172, 'stabilizer.roll': -64.10132598876953, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.431589603424072}
{'stabilizer.yaw': 128.4774932861328, 'stabilizer.roll': -64.09318542480469, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.430429458618164}
{'stabilizer.yaw': 128.45884704589844, 'stabilizer.roll': -64.100830078125, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.428266525268555}
{'stabilizer.yaw': 128.43797302246094, 'stabilizer.roll': -64.09770202636719, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.421825885772705}
{'stabilizer.yaw': 128.40940856933594, 'stabilizer.roll': -64.09547424316406, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.4249043464660645}
{'stabilizer.yaw': 128.37594604492188, 'stabilizer.roll': -64.10287475585938, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.42966890335083}
{'stabilizer.yaw': 128.35096740722656, 'stabilizer.roll': -64.10443878173828, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.425320625305176}
{'stabilizer.yaw': 128.31968688964844, 'stabilizer.roll': -64.11701202392578, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.425215244293213}
{'stabilizer.yaw': 128.29090881347656, 'stabilizer.roll': -64.11862182617188, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.440465927124023}
{'stabilizer.yaw': 128.25253295898438, 'stabilizer.roll': -64.11872100830078, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.435185432434082}
{'stabilizer.yaw': 128.13978576660156, 'stabilizer.roll': -64.11396789550781, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.453855514526367}
{'stabilizer.yaw': 128.14019775390625, 'stabilizer.roll': -64.14153289794922, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.463326930999756}
{'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.442256927490234, 'stabilizer.yaw': 123.48308563232422, 'stabilizer.roll': -64.0170669555664}
{'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.438921928405762, 'stabilizer.yaw': 123.44465637207031, 'stabilizer.roll': -64.02418518066406}
{'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.4667229652404785, 'stabilizer.yaw': 123.2241439819336, 'stabilizer.roll': -64.07937622070312}
{'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.478515148162842, 'stabilizer.yaw': 123.18916320800781, 'stabilizer.roll': -64.08930206298828}
{'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.483434200286865, 'stabilizer.yaw': 123.14468383789062, 'stabilizer.roll': -64.1036376953125}
{'stabilizer.thrust': 0.0, 'stabilizer.pitch': 20.948251724243164, 'stabilizer.yaw': 115.22123718261719, 'stabilizer.roll': -24.51346778869629}
{'stabilizer.thrust': 0.0, 'stabilizer.pitch': 13.631170272827148, 'stabilizer.yaw': 109.40385437011719, 'stabilizer.roll': -24.636594772338867}
{'stabilizer.thrust': 0.0, 'stabilizer.pitch': 10.696974754333496, 'stabilizer.yaw': 114.94563293457031, 'stabilizer.roll': -55.958770751953125}
{'stabilizer.thrust': 0.0, 'stabilizer.pitch': 13.487110137939453, 'stabilizer.yaw': 106.19081115722656, 'stabilizer.roll': -29.966569900512695}
{'stabilizer.thrust': 0.0, 'stabilizer.pitch': 9.900331497192383, 'stabilizer.yaw': 116.49102020263672, 'stabilizer.roll': -57.86818313598633}
{'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.22518783807754517, 'stabilizer.yaw': 116.88636016845703, 'stabilizer.roll': -61.57634353637695}
{'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.36170122027397156, 'stabilizer.yaw': 116.88331604003906, 'stabilizer.roll': -61.67129135131836}
